date,cera20c,ncep,cera20c_spread,ncep_spread,wegener,station
1930-08-14,-3.647020172301384,0.18458840061490928,1.333567392079608,1.333567392079608,0.4,AT_Weststation
1930-08-15,-3.6922932792463756,0.009348003636793223,1.5184567463904737,1.5184567463904737,-1.5,AT_Weststation
1930-08-16,-3.954714147185224,-0.047173489019333104,1.5126059827519693,1.5126059827519693,-2.2,AT_Weststation
1930-08-17,-5.0506140003724065,-0.04732689734995138,1.4829355832678899,1.4829355832678899,-3.0,AT_Weststation
1930-08-18,-5.954888214610419,0.27023044530143536,1.0628078037670465,1.0628078037670465,-1.9,AT_Weststation
1930-08-19,-6.483152147083503,-0.04116652380595337,0.8946346979786869,0.8946346979786869,-1.5,AT_Weststation
1930-08-20,-6.070372746879981,-0.7121957588937178,1.0417410671631386,1.0417410671631386,-1.1,AT_Weststation
1930-08-21,-6.1341313069359265,-1.1363846287464279,1.0678670980181615,1.0678670980181615,-1.4,AT_Weststation
1930-08-22,-4.691672046619777,-1.1714846885934151,1.2055642810994105,1.2055642810994105,-2.2,AT_Weststation
1930-08-23,-4.87449768135175,-0.1752403311112144,1.1087364474994155,1.1087364474994155,-0.9,AT_Weststation
1930-08-24,-5.100193140955295,1.0090289086396456,1.3857581600421935,1.3857581600421935,-0.6,AT_Weststation
1930-08-25,-5.384582243720118,1.6371950428159423,1.4634692423533637,1.4634692423533637,-0.1,AT_Weststation
1930-08-26,-5.32489364484988,1.4186571257410245,1.158007512725873,1.158007512725873,-2.0,AT_Weststation
1930-08-27,-4.773796024202987,0.7197907839169937,1.411181730244724,1.411181730244724,-0.9,AT_Weststation
1930-08-28,-5.116743336081839,0.009755937202726883,2.003154104858539,2.003154104858539,-2.5,AT_Weststation
1930-08-29,-5.7315245471620315,0.36581338483999776,2.493871161531336,2.493871161531336,-0.4,AT_Weststation
1930-08-30,-5.501965689654979,1.0410675644711906,2.7488391497774156,2.7488391497774156,0.5,AT_Weststation
1930-08-31,-5.19832339488447,1.0017109291230535,2.349931434351367,2.349931434351367,1.0,AT_Weststation
1930-09-01,-5.699728378106648,1.3028479818174223,3.001634783844293,3.001634783844293,1.4,AT_Weststation
1930-09-02,-6.123984366850964,1.6024433613936955,2.052792104277609,2.052792104277609,-0.9,AT_Weststation
1930-09-03,-6.857446351813183,2.6341961539650174,2.1711698193045894,2.1711698193045894,1.3,AT_Weststation
1930-09-04,-6.1995053982968145,3.3668529872136084,1.511640285165676,1.511640285165676,3.0,AT_Weststation
1930-09-05,-4.447505962807031,3.912966069047514,1.408588617911856,1.408588617911856,3.6,AT_Weststation
1930-09-06,-3.7675311909540787,3.156699380968999,2.0114621217404216,2.0114621217404216,2.9,AT_Weststation
1930-09-07,-4.030367478729005,3.5612436377289978,1.504779576762936,1.504779576762936,3.5,AT_Weststation
1930-09-08,-3.872439381019311,3.191509189931039,1.5540291035200495,1.5540291035200495,2.1,AT_Weststation
1930-09-09,-3.7669651423464905,1.1251560194455696,1.6388679845293785,1.6388679845293785,1.1,AT_Weststation
1930-09-10,-4.424441892343917,0.25658818516214155,2.064633728656825,2.064633728656825,-0.1,AT_Weststation
1930-09-11,-5.170703221195834,-0.6092191487259438,1.9623672146100382,1.9623672146100382,-3.4,AT_Weststation
1930-09-12,-6.390581346237959,-1.9811002011347854,2.399376580818725,2.399376580818725,-5.3,AT_Weststation
1930-09-13,-7.057458395423478,-3.163991568797023,2.2697995990069084,2.2697995990069084,-6.5,AT_Weststation
1930-09-14,-7.481677563029271,-3.9052286279895654,2.3064211267752883,2.3064211267752883,-8.5,AT_Weststation
1930-09-15,-7.545147614300094,-4.1842424844674735,2.2575549072319796,2.2575549072319796,-6.8,AT_Weststation
1930-09-16,-7.973520708541426,-4.091293170158773,2.236785890923627,2.236785890923627,-2.1,AT_Weststation
1930-09-17,-8.72159531997589,-3.37016207645285,1.8961245535244715,1.8961245535244715,-1.5,AT_Weststation
1930-09-18,-9.725820404183718,-3.250156493912293,2.255684542052997,2.255684542052997,-1.8,AT_Weststation
1930-09-19,-11.037070644844187,-3.332677232455359,3.722892059638853,3.722892059638853,-5.0,AT_Weststation
1930-09-20,-11.939612711219722,-3.0983798089696957,3.469856397627089,3.469856397627089,-6.4,AT_Weststation
1930-09-21,-11.706414008050768,-2.7129452556900375,2.725821325209751,2.725821325209751,-4.9,AT_Weststation
1930-09-22,-10.823425479068083,-1.9167626404984106,3.2447392022896238,3.2447392022896238,-2.0,AT_Weststation
1930-09-23,-10.374779728776044,-1.8585583682361486,2.9721973886131057,2.9721973886131057,-2.0,AT_Weststation
1930-09-24,-11.634757278196096,-2.866578097158038,2.7293412759896705,2.7293412759896705,-2.5,AT_Weststation
1930-09-25,-11.62641483767482,-2.7560503546334614,2.8923773392982155,2.8923773392982155,-2.2,AT_Weststation
1930-09-26,-11.863090264169546,-3.4097399903132675,2.907019563967156,2.907019563967156,-6.1,AT_Weststation
1930-09-27,-11.547385552964549,-8.698065895699274,2.9768009503254436,2.9768009503254436,-14.4,AT_Weststation
1930-09-28,-11.867203683369715,-9.14674996439842,3.1333545349270455,3.1333545349270455,,AT_Weststation
1930-09-29,-10.766504619013194,-5.873281101216169,3.3022760327901395,3.3022760327901395,,AT_Weststation
1930-09-30,-10.742008588653965,-4.156461938592757,4.640482850470512,4.640482850470512,-10.9,AT_Weststation
1930-10-01,-11.632236182497257,-5.761535039929432,4.697621509472628,4.697621509472628,-10.9,AT_Weststation
1930-10-02,-13.5841816059939,-1.7926282392254627,4.915575786601376,4.915575786601376,-3.8,AT_Weststation
1930-10-03,-12.725468007240728,-3.1160024931615573,3.5891906197528374,3.5891906197528374,-3.3,AT_Weststation
1930-10-04,-12.456132466007489,-5.066200633838762,1.657853278759633,1.657853278759633,-9.7,AT_Weststation
1930-10-05,-12.368780564858493,-6.05731028626257,2.1057340431419846,2.1057340431419846,0.0,AT_Weststation
1930-10-06,-11.401538183514424,-3.9932504744617363,1.622608993184284,1.622608993184284,0.0,AT_Weststation
1930-10-07,-9.952503996119685,-3.2336555063939847,1.150372391450618,1.150372391450618,-3.9,AT_Weststation
1930-10-08,-10.951347669352856,-10.693239142079896,1.1995679746759087,1.1995679746759087,-8.5,AT_Weststation
1930-10-09,-16.896243151207067,-11.862825664538812,1.9325405890373992,1.9325405890373992,-13.5,AT_Weststation
1930-10-10,-16.521193969438848,-8.748765681576419,2.78016717405459,2.78016717405459,0.0,AT_Weststation
1930-10-11,-13.905337955694103,-5.823898163095647,3.760264150947035,3.760264150947035,-8.9,AT_Weststation
1930-10-12,-13.623188607116223,-7.1718062107634255,1.5218244659010705,1.5218244659010705,-6.2,AT_Weststation
1930-10-13,-15.276020542381218,-8.960633576798745,2.165686067486058,2.165686067486058,0.0,AT_Weststation
1930-10-14,-18.97088919588711,-12.68820864337688,2.1451185026264827,2.1451185026264827,-11.3,AT_Weststation
1930-10-15,-22.518692936188483,-14.40523547463165,2.2242660037266306,2.2242660037266306,-18.7,AT_Weststation
1930-10-16,-24.872268238089223,-15.704452982399358,1.9354927685772705,1.9354927685772705,0.0,AT_Weststation
1930-10-17,-25.89323182756412,-15.743714450366438,1.6904080073353613,1.6904080073353613,-17.7,AT_Weststation
1930-10-18,-25.407882210258173,-13.946414125311833,3.1758765921285925,3.1758765921285925,-18.8,AT_Weststation
1930-10-19,-22.735522394744937,-12.079133385279912,3.5967038449459867,3.5967038449459867,-15.7,AT_Weststation
1930-10-20,-14.905416452027618,-3.2512510821623293,1.8039695106065128,1.8039695106065128,-5.4,AT_Weststation
1930-10-21,-14.453252696254603,-5.862162006794095,1.583072254504536,1.583072254504536,-6.6,AT_Weststation
1930-10-22,-17.083953342257857,-10.182095083065677,1.7223450152742754,1.7223450152742754,-8.9,AT_Weststation
1930-10-23,-18.646553716901344,-12.361740979798924,1.5961968403505116,1.5961968403505116,-15.6,AT_Weststation
1930-10-24,-19.137836604449223,-11.856475419369417,2.7577117599459107,2.7577117599459107,-13.5,AT_Weststation
1930-10-25,-19.39022837928209,-12.035634915948062,2.3871202111067826,2.3871202111067826,-13.4,AT_Weststation
1930-10-26,-23.146272585819737,-12.941766079054641,2.2281173928786715,2.2281173928786715,-17.7,AT_Weststation
1930-10-27,-23.94741697802605,-13.975184637719293,2.134313161659472,2.134313161659472,-23.5,AT_Weststation
